title,image,description,tags
"ANITICRISTO, EL",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/filosofía/anticristo.png,"Si el cristiano es quien reniega, oprime, calumnia a la naturaleza en cada instinto y pensamiento, si el cristianismo es la contranaturaleza, ¿dónde está el origen de esta corrupción, la raíz de esta monstruosa inversión del impulso vital? ¿Cómo puede la naturaleza negarse a sí misma? El Anticristo es una respuesta teorética a esta pregunta. La mentira es el gozne sobre el que se apoya el cristianismo. «Cada palabra en boca de un ""primer cristiano"" es una mentira; cada acción que realiza es una falsedad instintiva.»Y Nietzsche precisa:
«Llamamos mentira a no querer ver algo que se ve, a no querer ver algo así como se ve... La mentira más habitual es aquella con la que nos mentimos a nosotros mismos: mentir a los demás es, relativamente, la excepción.» Esta raíz del cristianismo tiene transfondo judío, testimoniado por el comienzo de la Biblia, «""Tú no tienes que conocer""—de ahí deriva todo lo demás.»",Filosofía
"ARTE DE LA GUERRA, EL",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/filosofía/artedelaguerra.png,"Es un lugar común referirse a El arte de la guerra como ""la versión china de El príncipe"" y a Sun Tzu como ""el Maquiavelo oriental"", aunque, bien mirado, fueron Sun Tzu y su libro de estrategia los que inspiraron a Maquiavelo. Nadie diría, a la vista de su estructura, su concisión y su estilo tan directo, que esta obra tiene más de dos mil años. Su contenido tiene tanta vigencia hoy como entonces, porque, en el fondo, las siempre acertadas máximas de Sun Tzu no nos hablan sólo del arte de hacer la guerra, sino también de cómo gestionar conflictos de todo tipo y salir airosos de ellos.",Filosofía
"ARTE DE SER FELIZ, EL",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/filosofía/serfeliz.jpg,"El arte de ser feliz es una pequeña joya literaria y un valioso libro de cabecera, que reúne cincuenta reglas para la vida que cualquier persona puede aplicar.
Arthur Schopenhauer solía dedicarse a la redacción de pequeños tratados como este, a los que concebía como textos para su uso práctico personal. gracias a la intensa dedicación a los clásicos griegos y latinos, a los grandes filósofos de todos los tiempos -a los que leía como magistri vitae - y al estudio de la sabiduría india, Schopenhauer llegó a apreciar la filosofía no solo como saber teorético, sino también como forma de vida y ejercicios mental; no solo como conocimiento puro y separado del mundo, sino también como enseñanza práctica y sabiduría para la vida.
Pero, ¿qué tipo de consejos sobre la felicidad puede brindarnos el filósofo que ha pasado a la historia como maestro del pesimismo? Se trata de encontrar reglas de conducta y de vida que nos ayuden a evitar las penurias y los golpes del destino, con la esperanza de que, si bien la felicidad perfecta es inalcanzable, podamos llegar a esa felicidad relativa que consiste en la ausencia del dolor.",Filosofía
CÓMO SER UN ESTOICO. UTILIZA LA FILOSOFÍA ANTIGUA PARA VIVIR UNA VIDA MODERNA,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/filosofía/estoico.jpg,"No sabemos qué te ha llevado a sentir curiosidad por este libro. Tal vez estés pasando por una etapa con un alto nivel de estrés. Quizás sufres una gran saturación de trabajo. O estás empezando a comprender las responsabilidades que conlleva tener un hijo. O puede que estés viviendo una tormenta emocional como consecuencia de una nueva relación fallida. Sea lo que sea, seguro que puedes encontrar las palabras justas dentro de la sabiduría estoica.
El estoicismo es una filosofía práctica cuyo mensaje esencial es: no podemos controlar lo que nos pasa, pero sí cómo respondemos a ello. Cuando nos hacemos preguntas tan corrientes como «¿Qué puedo hacer para controlar mi rabia?», «¿Qué debo hacer si alguien me insulta?», «¿Qué puedo hacer para no sentir temor ante la muerte?», o incluso «¿Cómo debería gestionar los éxitos que obtengo?» lo que en realidad nos estamos preguntando es de qué forma deberíamos vivir nuestra vida para ser más felices. Y no parece una cuestión sencilla de responder… En Cómo ser un estoico, el filósofo Massimo Pigliucci ofrece el estoicismo, la antigua filosofía que inspiró al gran emperador Marco Aurelio, como el mejor camino para conseguirlo. Mediante una conversación entre el mismo Pigliucci y Epicteto, el antiguo esclavo convertido en maestro, y un sinfín de consejos, ejercicios prácticos y propuestas de meditación, este libro se convierte en la guía esencial para vivir la vida según las pautas del estoicismo y encontrar las soluciones que esta filosofía práctica puede aportar a nuestros problemas modernos",Filosofía
SELECCIÓN DE LAS ENÉADAS,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/filosofía/estoico.jpg,"En una época de profunda crisis espiritual, el filósofo Plotino (siglo III d.C.) dio forma a una de las corrientes de pensamiento más fascinantes y duraderas de la historia: el neoplatonismo. Para él, el universo no es un caos de materia inerte, sino una hermosa y armónica cascada de luz que emana de un único principio supremo e inefable: el Uno.
Esta cuidada Selección de las Enéadas reúne los tratados más representativos y luminosos de su obra cumbre, recopilada originalmente por su discípulo Porfirio. A través de estas páginas, el lector se adentrará en la arquitectura del cosmos —gobernado por el Uno, la Inteligencia y el Alma— y descubrirá que la filosofía no es un mero ejercicio lógico, sino un mapa místico de retorno a casa.
Con un lenguaje profundo pero accesible, esta antología invita a despojarse de las ataduras materiales para emprender el viaje más importante de la existencia: el ascenso interior del alma hacia la contemplación de la Verdad y la Belleza absolutas.
Una obra imprescindible para comprender las raíces de la mística occidental y el puente definitivo entre el pensamiento clásico y la espiritualidad universal.",Filosofía
MEDITACIONES,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/filosofía/Meditacion.jpg,"Sumérgete en las reflexiones de uno de los más grandes emperadores romanos en estas páginas que ofrecen una perspectiva única sobre el sentido de la existencia. Este libro, no es sólo una obra maestra de la filosofía estoica, sino también una guía atemporal que ofrece sabiduría sobre la virtud, la moral y la naturaleza de la mente humana. A través de sus páginas, encontrarás un tesoro de pensamientos personales que te invitan a contemplar y vivir una vida con propósito y significado; pues las Meditaciones es más que un libro, es un compañero para la reflexión diaria, un espejo del alma que desafía, enseña y consuela. Deja que las palabras de Marco Aurelio te inspiren y transformen tu visión de la vida.",Filosofía
"PENSAMIENTO DE SANTO TOMAS, EL",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/filosofía/pensamiento.jpg,"Santo Tomás de Aquino (1224/5-1274) vivió en la época en que el mundo cristiano recuperaba, a través de los comentaristas árabes, el gran tesoro de la especulación filosófica griega. Para algunos, el pensamiento griego -y el aristotelismo en especial- era una amenaza naturalista a la integridad de la fe cristiana. Y acaso lo más notable de santo Tomás sea la forma en que usó y desarrolló el legado del pensamiento antiguo; osadía que lo llevó a ser considerado como un revolucionario por muchos de sus contemporáneos.
Pero el pensamiento de santo Tomás tiene algo más que un mero interés histórico. A partir del siglo XIX, cuando León XIII afirmó en su encíclica 'Aeterni Patris' el valor de la síntesis tomista, los filósofos católicos han basado su reflexión en la obra del dominico. Por paradójico que pueda parecer, actualmente la influencia de santo Tomás es mucho mayor que en la Edad Media.
Copleston -conocido por su 'Historia de la filosofía' y sus estudios sobre Schopenhauer y Nietzsche- logra hacer de la filosofía de santo Tomás algo perfectamente inteligible, aun para aquellas personas poco familiarizadas con la filosofía medieval y sus problemas.",Filosofía
"PRÍNCIPE, EL",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/filosofía/elprincipe.png,"Acusado de conspirar en contra de los Médici, Maquiavelo se encuentra confinado en San Casciano. Como respuesta a la acusación escribe esta obra, que contiene reflexiones en torno al poder, cómo obtenerlo, mantenerlo y acrecentarlos. Una serie de principios que buscan la conservación del bien de la comunidad, aunque para lograrlo se hagan sacrificios. ""La astucia, la habilidad ocultación de los designios, el uso de la fuerza, el engaño, adquieren la categoría de medios lícitos si los fines están guiados por la idea del bien común"". Nicolás Maquiavelo (1469-1527) nació en Florencia; logró destacar como funcionario público y diplomático. Su cercanía con influyentes personajes de la política y el clero le permitieron entender las dinámicas con que se manejaban y se convirtieron en la fuerte de su más grande obra, EL PRINCIPE. Fue exiliado y a su retorno vivió alejado del ambiente citadino. Durante su tiempo libre se dedicó a escribir.",Filosofía
"PRÍNCIPE, EL",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/filosofía/Elprincipe.jpg,"El autor de esta famosa obra, NICOLAS BERNARDO DE MAQUIAVELO, nació en Florencia el 3 de mayo de 1469. Designado en 1494 secretario del gobierno de ""Los Diez"", desempeñó después-importantes misiones diplomáticas. Pero derrocada la república en su patria por los Médicis, fue condenado a la proscripción. Durante ella dedicóse a escribir, y de esa época data EL PRINCIPE, uno de los mayores monumentos literarios que nos ha legado el siglo XVI.
Murió Maquiavelo el 22 de junio de 1527.",Filosofía
