title,image,description,tags
AVES RAPACES. LOS MAJESTUOSOS SEÑORES DEL AIRE,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/ecologiabibl/Aves.jpg,"Del majestuoso cóndor de los Andes, el animal volador más grande del mundo, al búho duende, del tamaño de un gorrión, descubra la asombrosa diversidad de las aves de presa que cazan en los cielos. 
230 fotografías en color de las aves de presa más formidables del mundo en sus hábitats naturales. 
Capítulos dedicados a las águilas, los halcones, los buitres, los búhos y las lechuzas, los ratoneros, los milanos, los aguiluchos, los azores y los gavilanes. 
Incluye información sobre hábitat, modos de vida, hábitos de anidación y apareamiento, y técnicas de captura. 
Fantásticas fotografías de las aves rápidas y agresivas en pleno vuelo tomadas por algunos de los mejores fotógrafos del mundo de fauna silvestre.",Ecología
ANIMAL. LA MEJOR Y MÁS IMPACTANTE GUÍA VISULA DE LA VIDA SALVAJE EN NUESTRO PLANETA,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/ecologiabibl/animal.jpg,"What in the world is going on up there? Look up! It's a bird; it's a plane; it's a Polar mesospheric cloud! When you look to the sky, do you wonder why the Sun is so bright or why the clouds are white or why the sky is blue? Then, Weather For Dummies is your resource to fuel your curiosity about the weather. It takes you on an exciting journey through the Earth's atmosphere and the ways it behaves. You'll get an overview of rain, Sun, clouds, storms and other phenomena. With helpful photographs and illustrations, you can easily visualize different weather types and relate them into the world around you. The scientific words and phrases are explained in detail (what is barometric pressure?), your curious questions are answered (why do we have seasons?), and the roots of weather myths, proverbs, and sayings are revealed (""early thunder, early spring""). Discover how weather forecasts are made, and what constitutes a weather emergency Find out what causes change in weather, such as how air pressure drives winds Learn how climate change is affecting today's weather Discover how light plays tricks on our eyes to create effects like rainbows, sun dogs, and halos Have fun with at-home weather experiments, including setting up your own weather station Perfect for any weather amateur, you can have your head in the clouds while your feet are on the ground. Next time you're outside, take Weather For Dummies along with you, look at the sky, and discover something new about the environment you live in.",Ecología
ECODESIGN,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/ecologiabibl/ecodesign.jpg,"La lavadora que depura el agua de lavado, el catamarán fotovoltaico, los zapatos modulares que se adaptan a cualquier estación, el vestido de novia de almidón y los juguetes de maíz.
Desde los medios que la naturaleza nos ofrece hasta las tecnologías más sofisticadas, ecodesign reúne los ejemplos de diseño sostenible más innovadores, atractivos y originales.",Ecología
PLANTAS SAGRADAS,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/ecologiabibl/plantassagradas.jpg,"La historia de los pueblos indígenas en México está regida por concepciones muy particulares de su entorno. Una de estas nociones se relaciona con el uso de plantas enteógenas –término acuñado por Gordon R. Wasson, que significa volverse divino interiormente, las cuales son utilizadas en ceremonias regidas por curanderos, chamanes o brujos para propiciar el encuentro con lo divino. La revista número 127 de Artes de México sitúa el uso de plantas como los hongos, la marihuana o el peyote, más allá del efecto recreativo que se persigue habitualmente fuera de las comunidades indígenas. En este recuento, atendemos los usos específicos de mazatecos, huicholes, otomíes, nahuas y mayas y la manera en la que su entorno se hermana con realidades extraordinarias, para que espíritus, humanos y dioses convivan en un mismo espacio.",Ecología
SEMILLAS DE IDENTIDAD,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/ecologiabibl/semilladeidentidad.jpg,"A lo largo de los siglos, la cocina mexicana se ha constituido de los sabores que son parte de nuestra identidad. En el maguey, el nopal, el chile, el cacao o la calabaza van implícitos rituales, formas de vida, pensamientos, historias y tradiciones. Por ello, en nuestro número 122, queremos descubrir los lazos históricos, estéticos o sociales creados en cada ingrediente inminentemente mexicano. Aquí, damos a conocer 31 productos que nuestro país legó al mundo, y cuyas resonancias han traspasado generaciones y fronteras. Se conforma como un catálogo visual del sabor de México que se acompañará de textos emblemáticos del siglo XVI al XIX, ya que en ellos encontramos una mirada fresca y original sobre cada ingrediente.",Ecología
"PROFUNDA RESPIRACIÓN DE LOS ÁRBOLES, LA",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/ecologiabibl/laprofunda.jpg,"¿Tienen los árboles la capacidad de aprender? ¿Saben adaptar su comportamiento a la subida de las temperaturas y a la sequía asegurando así su supervivencia? ¿Podría ser que hasta transmitan sus experiencias y su conocimiento a su descendencia para prepararlos mejor frente al calentamiento global? No sólo el cambio climático está causando problemas a los árboles, sino que sobre todo las intervenciones de los humanos están amenazando los bosques... «La muerte de los bosques caducifolios se extiende paralelamente a la muerte de las plantaciones como un fuego ardiente, pero con una diferencia esencial: las plantaciones mueren debido a las altas temperaturas del verano, mientras que la muerte de los viejos bosques caducifolios se debe a las sierras eléctricas. Es hora de parar la despiadada sobreexplotación». Peter Wohlleben.",Ecología
TIERRAS SILVESTRES,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/ecologiabibl/silvestre.jpeg,"Es una obra cautivadora del autor Vance G. Martin, que forma parte de la colección “Voces de la Tierra”. Este libro, con tapa dura, combina arte, cine y fotografía en un formato mediano, ideal para aquellos que buscan una experiencia visual enriquecedora. Ofrece un recorrido profundo y reflexivo sobre la conexión entre el ser humano y la naturaleza.Su narración en formato de manual permite una lectura accesible y amena, facilitando la comprensión de los temas tratados. Además, cuenta con un índice que organiza el contenido, haciendo más fácil la búsqueda de información específica.",Ecología
"RÍO CUPATITZIO, EL: SITIOS HISTÓRICOS Y APROVECHAMIENTO DE SU CAUDAL, SOGLOS XIX Y XX",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/ecologiabibl/elrio.jpg,"Analiza los diversos aprovechamientos del agua del río desde finales del siglo XIX hasta el último cuarto del siglo XX. Los cambios en los usos del agua y los conflictos derivados son estudiados a partir del recorrido por un mapa antiguo hallado en el Archivo Histórico del Agua, que inicia con el nacimiento del Cupatitzio y termina con las tomas de riego de familias acaudaladas al sur de su cuenca, en la Tzaráracua, con los ríos y arroyos tributarios que se suman a su paso. Se muestran paisajes de antaño no reconocidos por los caminantes del presente, pero a través de fotografías antiguas y recientes se podrá constatar lo mucho que ha cambiado Uruapan, aquello que se ganó y se perdió luego de actuar en aras de la modernidad. Este libro propone un recorrido por sitios significativos desde el punto de vista histórico y cultural. Es una invitación para conocer al río Cupatitzio, sus sitios históricos y el aprovechamiento de su caudal con el fin de preservarlo y defenderlo hoy más que nunca.",Ecología
