title,image,description,tags
"AMÉRICA LATINA. ESTADO Y SOCIEDAD EN CUESTIÓN, VOL 6",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/cienciassociales/americala.png,"Me complace presentar a los lectores esta colección de seis volúmenes sobre los Estudios Latinoamericanos en la UNAM, con textos en los que se da a conocer una muestra de lo que se investiga en los seis campos de conocimiento interdisciplinarios del Programa de Posgrado en Estudios Latinoamericanos.
Se incluyen en cada uno de los volúmenes de la colección ensayos originales sobre temas y problemas relevantes de América Latina, que dan cuenta de los nuevos fenómenos que están apareciendo, así como de aproximaciones analíticas recientes. Los asuntos abordados incorporan en su tratamiento elementos teórico metodológicos que sirven de marco a análisis concretos, pero no son ensayos puramente teóricos, sino que están abiertos a las tendencias y expresiones de la realidad social. Se procuró que los textos mostraran la pertinencia del tema o problema a exponer, ubicasen el asunto en los debates actuales, recuperando los desarrollos previos, buscando ejemplificarlos con las tendencias actuales del tema/problema, así como los cambios en curso, La idea fue que cada volumen señalase posibles líneas de investigación para abordar los asuntos tratados y en la conjunción de los textos se incluyera una bibliografía básica.
Agradecemos el apoyo de CONACYT para esta publicación y constatamos con agrado que el trabajo está hecho y se presenta al juicio y entendimiento
del público.",Ciencias Sociales
¡BASTA DE HISTORIAS! LA OBSESIÓN LATINOAMERICANA CON EL PASADO Y LAS 12 CLAVES DEL FUTURO,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/cienciassociales/Basta.jpg,"La educación es algo demasiado importante como para dejarla en manos de los gobiernos. Periodista cardinal y siempre dispuesto a desafiar las modas políticas del momento con inteligencia y humor, Andrés Oppenheimer demuestra en este libro que mejorar sustancialmente la educación, la ciencia, la tecnología y la innovación no es tarea imposible. Pero sí tremendamente necesaria. La razón es simple: el XXI será el siglo de la economía del conocimiento. Contrariamente a lo que pregonan presidentes y líderes populistas latinoamericanos, los países que avanzan no son los que venden materias primas ni productos manufacturados básicos, sino los que producen bienes y servicios de mayor valor agregado. i Basta de historias! es un agudo viaje periodístico alrededor del mundo, que aporta ideas útiles para trabajar en la principal asignatura pendiente de nuestros países y la única que nos podrá sacar de la mediocridad económica e intelectual en la que vivimos: la educación. ""Este libro sale a la luz en momentos en que buena parte de Latinoamérica está festejando el bicentenario de su independencia. La obsesión con el pasado es un fenómeno característico de la región. Curiosamente, no ocurre lo mismo en China, India y otros países asiáticos y de Europa del Este, a pesar de que muchos de ellos tienen historias milenarias. Vale la pena entonces hacernos una serie de preguntas tan pertinentes como políticamente incorrectas: ¿es saludable esta obsesión con la historia? ¿Nos ayuda a prepararnos para el futuro? ¿O, por el contrario, nos distrae de la tarea cada vez más urgente de prepararnos para competir mejor en la economía del conocimiento del siglo XXI?""",Ciencias Sociales
"¡CÓMO SALIR DEL POZO! LAS NUEVAS ESTRATEGIAS DE LOS PAISES, LAS EMPRESAS Y LAS PERSONAS EN BUSCA DE LA FELICIDAD",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/cienciassociales/como.jpg,"Una ola de descontento recorre el mundo, y cada vez menos personas se sienten verdaderamente felices. Las encuestas revelan un aumento constante de la insatisfacción, el estrés y la depresión a nivel global. ¿Qué está sucediendo? ¿Por qué los niveles de infelicidad alcanzan récords preocupantes? ¿Cuáles son las últimas innovaciones de países, empresas, escuelas y la ciencia para revertir esta tendencia y aumentar la felicidad?
Andrés Oppenheimer explora este fenómeno global y ofrece nuevas perspectivas para salir del pozo de la insatisfacción. A través de una exhaustiva investigación en diversos países, concluye que el crecimiento económico -el parámetro que usamos para medir el progreso- es necesario, pero no suficiente para aumentar la felicidad. Hay otros factores, como la pérdida de comunidad, la carencia de propósito y la adicción a las redes sociales, que están alimentando la desesperanza. Sin embargo, lo más interesante es que están surgiendo soluciones concretas y accesibles para aumentar la satisfacción de vida.
A lo largo de esta reveladora y entretenida obra, los lectores se sumergirán en la nueva ""ciencia de la felicidad"", basada en evaluaciones de impacto respaldadas por evidencias sólidas. Así, Oppenheimer amplía el concepto de progreso y comparte novedosas estrategias para combatir la infelicidad en los países, las empresas y las escuelas. Nos cuenta sobre las ""escuelas de la felicidad"" que visitó en India, los ""recetadores sociales""que entrevistó en el Reino Unido y los grupos de voluntarios con los que ha-bló en Dinamarca, Finlandia y Bután. He aquí un libro inspirador que transformará todo lo que siempre creímos sobre la felicidad.",Ciencias Sociales
"DEFENSA DE TU DERECHO A SABER, LA: EL RECURSO DE REVISIÓN",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/cienciassociales/defensa.jpg,"La defensa de tu derecho a saber: el recurso de revisión es una guía de divulgación ciudadana que funciona como un manual práctico para impugnar las negativas de información de las instituciones públicas de la Ciudad de México. El libro detalla el papel del INFOCDMX como árbitro e instructora a las personas sobre cómo, cuándo y por qué interponer un recurso de revisión cuando su derecho a saber es vulnerado.",Ciencias Sociales
"DEMOCRACIA EN MÉXICO, LA",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/cienciassociales/lademo.jpg,"En esta obra, considerada ya clásica dentro de la literatura sociológica mexicana, el autor somete a un lúcido, riguroso examen, las estructuras económicas, sociales y políticas del país. Pasando de los niveles abstractos a los concretos, aportando datos que se confrontan, corrigen y ajustan mutuamente, el estudio se aplica a comprender un fenómeno eminentemente variable y complejo. Ni diatriba ni apología, La democracia en México analiza, con la máxima objetividad, el problema del desarrollo del país, que es el más ligado a una democracia efectiva. El movimiento mismo de la sociedad civil mexicana, sus apegos o contradicciones respecto a los postulados de la Revolución, sus límites y posibilidades, se presentan aquí claramente expuestos, ordenados para el juicio del lector.",Ciencias Sociales
DEMOCRACIA Y GLOBALIZACIÓN. DIFERENTES ENFOQUES,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/cienciassociales/democracia.jpg,"El objetivo del presente libro es señalar los alcances de los cambios provocados por la globalización en la estructura del sistema internacional, lo mismo en las esferas económica, política y social a gran escala, que en cada aspecto de la vida cotidiana del individuo. Estos cambios plantean una necesidad inminente de que el diseño del rumbo a seguir en los espacios afectados por las tendencias globales, no sea únicamente un azar dependiente de las destrezas de los policy makers y de cuán receptivos éstos puedan ser a las nuevas vías que adopta la política. Es necesario que dichas planeaciones sean también objeto de una proactiva reflexión académica, que logre dilucidar vías acertivas para afrontar de manera adecuada los desafíos del panorama mundial actual.",Ciencias Sociales
ECONOMÍA MEXICANA SIN ENREDOS,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/cienciassociales/economia.jpg,"México no es sólo su gente, sus costumbres, sus paisajes o su futbol. México también está construido por el trabajo, lasinversiones, los ingresos de sus habitantes y los premios a sus esfuerzos. Todo esto depende de nosotros y de la economía de nuestro país.
Por ello es importante conocer cuál es su situación, cómo ha evolucionado, qué se ha ganado, qué se ha perdido, cómo evaluar la fortaleza o debilidad de nuestro presente y poder pronosticar el futuro que nos espera.
Economía mexicana sin enredos ofrece una vista panorámica de los cambios que se han experimentado en lo económico, explicándonos de forma accesible las claves para comprender este mundo, que cada día nos exige estar mejor preparados, y entonces, tomar mejores decisiones que beneficien nuestro propio bolsillo.",Ciencias Sociales
EL ESTILO DEL PERIODISTA,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/cienciassociales/elestilo.png,"UNA INMEJORABLE GUÍA DE NUESTRA LENGUA
Este libro es un instrúmento, un manual lleno de respuestas. Publicado por primera vez en 1997, se ha convertido en una referencia tanto para las facultades de periodismo en España y Latinoamérica como para los profesionales de la información, los traductores, los profesores de lengua y todos aquellos que se sienten interesados por la pala-bra. El libro incluye anécdotas, así como ricos y variados ejemplos, muchos extraídos de periódicos latinoamericanos. Desde la perspectiva del periodista que ha vivido —y resuelto- los problemas que su profesión plantea en el trabajo diario, esta obra es una inmejorable guía de nuestra lengua que, además, despertará en el lector la misma pasión con la que el autor la ha escrito.
Cuando el libro ha formado ya a más de diez generaciones de periodistas en España y América, Taurus lanza esta edición actualizada y revisada por el autor con nuevos ejemplos.",Ciencias Sociales
,,,
